index,start_seconds,end_seconds,text
1,0.05,4.88,"These stretchy metals can cool their surroundings. Could this be the future of refrigeration? So"
2,5.00,10.62,"everything that has to do with refrigeration and air conditioning is done by vapor compression"
3,10.86,16.44,"technology, where this chemical refrigerant called hydrofluorocarbon, it absorbs and releases"
4,16.60,21.88,"latent heat. Except the problem is that hydrofluorocarbon, it's contributing"
5,21.94,27.38,"significantly to the global warming problem. And that's why we started"
6,27.68,33.48,"thinking that we can make cooling devices by stretching nickel titanium wire. So we stretch"
7,33.54,38.80,"it and it actually release heat and you unstretch it's cooling its surrounding."
8,39.66,45.12,"But it hadn't been a prevalent phenomenon that was well known. So when we first"
9,45.50,49.77,"approached the Department of Energy they said, as far as we know, no such phenomenon"
10,49.81,53.53,"exists. And so that's when we said exactly, you should let us try it."
